sent_id	word_seq	original_word	cyrillic_word	pos
10	2	súwretlerge	сүўретлерге	NOUN
10	3	bul	бул	PRON
10	4	tásir	тáсир	NOUN
10	5	etpeydi,	етпейди	PUNCT
10	6	al	,	PUNCT
10	7	jańa	ал	CCONJ
10	8	foto	жаңа	ADJ
10	9	súwretler	фото	NOUN
10	10	paydalanıwshınıń	сүўретлер	NOUN
10	11	Google	пайдаланіўшінің	CCONJ
10	12	Drive,	гоогле	PUNCT
10	13	Gmail	дриве	NOUN
10	14	hám	,	CCONJ
10	15	Google	гмаил	NOUN
10	16	Photos	һáм	NOUN
10	17	arasında	гоогле	NOUN
10	18	bólisilgen	пһотос	PROPN
10	19	saqlaw	арасінда	NOUN
10	20	kvotasına	бөлисилген	VERB
10	21	esaplanadı.	сақлаў	PUNCT
10	22	квотасіна	квотасіна	NOUN
10	23	есапланаді	есапланаді	VERB
10	24	.	.	PUNCT
11	0	Messi	месси	PROPN
11	1	2012-jılı	2012	PUNCT
11	2	10-sanlı	-	PUNCT
11	3	futbolkasında	жілі	NOUN
11	4	Argentina	10	NUM
11	5	kapitanı	-	PUNCT
11	6	retinde.	санлі	PUNCT
11	7	футболкасінда	футболкасінда	NOUN
11	8	аргентина	аргентина	NOUN
11	9	капитані	капитані	NOUN
11	10	ретинде	ретинде	ADJ
11	11	.	.	PUNCT
12	0	Qızıl	қізіл	ADJ
12	1	kartochka	карточка	NOUN
12	2	oyınshıǵa	ойіншіға	PRON
12	3	zorlıq-zombılıq	зорліқ-зомбіліқ	PUNCT
12	4	háreketi	һáрекети	NOUN
12	5	yamasa	йамаса	PUNCT
12	6	qarsılas	қарсілас	NOUN
12	7	komandanıń	команданің	NOUN
12	8	gol	гол	NOUN
12	9	urıw	уріў	VERB
12	10	múmkinshiligin	мүмкиншилигин	ADJ
12	11	nızamsız	нізамсіз	ADJ
12	12	hám	һáм	CCONJ
12	13	qasaqana	қасақана	ADV
12	14	toqtatıw	тоқтатіў	VERB
12	15	sıyaqlı	сійақлі	ADJ
12	16	awır	аўір	NOUN
12	17	yamasa	йамаса	VERB
12	18	oǵada	оғада	NOUN
12	19	awır	аўір	ADJ
12	20	qaǵıyda	қағійда	NOUN
12	21	buzıw	бузіў	VERB
12	22	islegeni	ислегени	VERB
12	23	ushın	ушін	ADP
12	24	kórsetiledi.	көрсетиледи	PUNCT
12	25	.	.	PUNCT
13	0	Biz	биз	NOUN
13	1	esteliklerimizdi	естеликлеримизди	NOUN
13	2	uzaq	узақ	NOUN
13	3	múddetli	мүддетли	ADJ
13	4	yadta	йадта	NOUN
13	5	saqlanǵanda	сақланғанда	NOUN
13	6	turaqlı	турақлі	ADJ
13	7	hám	һáм	CCONJ
13	8	ózgermeytuǵın	өзгермейтуғін	VERB
13	9	nárse	нáрсе	ADJ
13	10	dep	деп	VERB
13	11	oylawdı	ойлаўді	VERB
13	12	jaqsı	жақсі	ADJ
13	13	kóremiz,	көремиз	PUNCT
13	14	biraq	,	PUNCT
13	15	bul	бирақ	PRON
13	16	olay	бул	NOUN
13	17	emes.	олай	PUNCT
13	18	емес	емес	AUX
13	19	.	.	PUNCT
14	0	Xvan	xван	NOUN
14	1	Chji-yon	чжи-йон	PUNCT
14	2	sıyaqlı	сійақлі	ADJ
14	3	ólgen	өлген	VERB
14	4	personajlardıń	персонажлардің	NOUN
14	5	ayırımların	айірімларін	NOUN
14	6	qaytarǵısı	қайтарғісі	VERB
14	7	keletuǵının	келетуғінін	VERB
14	8	ayttı	айтті	VERB
14	9	hám	һáм	CCONJ
14	10	sol	сол	DET
14	11	waqıtta	ўақітта	NOUN
14	12	ekinshi	екинши	ADJ
14	13	máwsim	мáўсим	NOUN
14	14	ushın	ушін	ADP
14	15	hesh	һеш	NOUN
14	16	qanday	қандай	DET
14	17	jobası	жобасі	NOUN
14	18	bolmaǵanlıqtan,	болмағанліқтан	PUNCT
14	19	bir	,	NUM
14	20	qansha	бир	DET
14	21	súyikli	қанша	ADJ
14	22	personajlardı	сүйикли	ADJ
14	23	óltirgenine	персонажларді	NOUN
14	24	ókinishin	өлтиргенине	VERB
14	25	bildirdi.	өкинишин	PUNCT
14	26	билдирди	билдирди	VERB
14	27	.	.	PUNCT
15	0	Ol	ол	DET
15	1	júdá	жүдá	NOUN
15	2	qapa	қапа	NOUN
15	3	"boldı""."	болді	PUNCT
15	4	""""	""""	PUNCT
15	5	.	.	PUNCT
16	0	Birinshi	биринши	ADJ
16	1	bólimde	бөлимде	NOUN
16	2	qatnasıwshılar	қатнасіўшілар	NOUN
16	3	bir	бир	NUM
16	4	qatar	қатар	ADP
16	5	ańsat	аңсат	NOUN
16	6	hám	һáм	CCONJ
16	7	qıyın	қійін	VERB
16	8	viktorina	викторина	NOUN
16	9	sorawlarına	сораўларіна	NOUN
16	10	juwap	жуўап	VERB
16	11	berdi,	берди	PUNCT
16	12	keyin	,	PUNCT
16	13	kúndelikli	кейин	ADJ
16	14	sózler	күнделикли	ADJ
16	15	hám	сөзлер	CCONJ
16	16	ekran	һáм	ADJ
16	17	hám	екран	CCONJ
16	18	Google	һáм	NOUN
16	19	sıyaqlı	гоогле	ADJ
16	20	texnologiyaǵa	сійақлі	ADJ
16	21	baylanıslı	теxнологийаға	ADJ
16	22	sózlerdi	байланіслі	ADJ
16	23	óz	сөзлерди	NOUN
16	24	ishine	өз	DET
16	25	alǵan	ишине	NOUN
16	26	ózgertilgen	алған	VERB
16	27	Stroop	өзгертилген	VERB
16	28	wazıypasın	строоп	NOUN
16	29	orınladı.	ўазійпасін	PUNCT
16	30	орінладі	орінладі	VERB
16	31	.	.	PUNCT
17	0	Onıń	онің	PRON
17	1	dawamı	даўамі	NOUN
17	2	ushın	ушін	ADP
17	3	jaqsı	жақсі	ADJ
17	4	islep	ислеп	VERB
17	5	shıǵılǵan	шіғілған	AUX
17	6	jobaları	жобаларі	NOUN
17	7	joq	жоқ	ADJ
17	8	edi	еди	PART
17	9	hám	һáм	CCONJ
17	10	eger	егер	SCONJ
17	11	ol	ол	PRON
17	12	jazatuǵın	жазатуғін	NOUN
17	13	bolsa,	болса	PUNCT
17	14	oǵan	,	PUNCT
17	15	járdem	оған	PRON
17	16	beriw	жáрдем	ADJ
17	17	ushın	бериў	ADP
17	18	jazıwshılar	ушін	SCONJ
17	19	hám	жазіўшілар	CCONJ
17	20	rejissyorlar	һáм	ADJ
17	21	komandası	режиссйорлар	NOUN
17	22	kerek	командасі	NOUN
17	23	bolatuǵının	керек	ADJ
17	24	ayttı.	болатуғінін	PUNCT
17	25	айтті	айтті	VERB
17	26	.	.	PUNCT
18	0	Bul	бул	PRON
18	1	rol	рол	NOUN
18	2	xalıq	xаліқ	NOUN
18	3	arasında	арасінда	NOUN
18	4	'samal	'	PUNCT
18	5	tosqısh'	самал	PUNCT
18	6	dep	тосқіш'	NOUN
18	7	belgili	деп	ADJ
18	8	bolǵan.	белгили	PUNCT
18	9	болған	болған	AUX
18	10	.	.	PUNCT
19	0	Olar	олар	PRON
19	1	bunı	буні	NOUN
19	2	Internettiń	интернеттиң	ADJ
19	3	ashıqlıǵınan	ашіқліғінан	NOUN
19	4	paydalanatuǵın	пайдаланатуғін	VERB
19	5	usıllar	усіллар	NOUN
19	6	arqalı	арқалі	ADJ
19	7	ámelge	áмелге	NOUN
19	8	asıradı.	асіраді	PUNCT
19	9	.	.	PUNCT
20	0	Diagrammalar	диаграммалар	NOUN
20	1	hám	һáм	CCONJ
20	2	olardıń	олардің	PRON
20	3	model	модел	NOUN
20	4	elementleri	елементлери	NOUN
20	5	ushın	ушін	ADP
20	6	belgilew	белгилеў	ADJ
20	7	hám	һáм	CCONJ
20	8	semantikanı	семантикані	NOUN
20	9	anıqlaytuǵın	аніқлайтуғін	VERB
20	10	Superstruktura	суперструктура	NOUN
21	0	Modifikator	модификатор	NOUN
21	1	hám	һáм	CCONJ
21	2	baǵıt	бағіт	NOUN
21	3	klavishalarınıń,	клавишаларінің	PUNCT
21	4	qatar	,	PUNCT
21	5	awıstırıw	қатар	ADV
21	6	klavishasınıń,	аўістіріў	PUNCT
21	7	úziw	клавишасінің	NOUN
21	8	klavishasınıń,	,	PUNCT
21	9	bos	үзиў	NOUN
21	10	klavishalardıń	клавишасінің	NOUN
21	11	hám	,	CCONJ
21	12	qaytalaw	бос	ADJ
21	13	klavishasınıń	клавишалардің	NOUN
21	14	ádettegiden	һáм	ADJ
21	15	ózgeshe	қайталаў	NOUN
21	16	konfiguraciyasına	клавишасінің	NOUN
21	17	itibar	áдеттегиден	NOUN
21	18	beriń.	өзгеше	PUNCT
21	19	конфигураcийасіна	конфигураcийасіна	NOUN
21	20	итибар	итибар	NOUN
21	21	бериң	бериң	VERB
21	22	.	.	PUNCT
22	0	Bunnan	буннан	NOUN
22	1	keyin,	кейин	PUNCT
22	2	stadionnıń	,	PUNCT
22	3	qubla	стадионнің	NOUN
22	4	tárepi	қубла	NOUN
22	5	jabıldı	тáрепи	NOUN
22	6	hám	жабілді	CCONJ
22	7	Pittodri	һáм	ADJ
22	8	stadionı	питтодри	NOUN
22	9	mámlekettegi	стадионі	NOUN
22	10	birinshi	мáмлекеттеги	ADJ
22	11	tolıq	биринши	ADJ
22	12	otırǵıshlı,	толіқ	PUNCT
22	13	tolıq	отірғішлі	ADJ
22	14	jabıq	,	PUNCT
22	15	stadion	толіқ	ADJ
22	16	dep	жабіқ	ADJ
22	17	járiyalandı,	стадион	PUNCT
22	18	biraq	деп	VERB
22	19	stadionnıń	жáрийаланді	VERB
22	20	qubla	,	PUNCT
22	21	múyeshleri	бирақ	PRON
22	22	ele	стадионнің	NOUN
22	23	de	қубла	ADJ
22	24	ashıq	мүйешлери	NOUN
22	25	qaldı.	еле	PUNCT
22	26	де	де	ADV
22	27	ашіқ	ашіқ	ADJ
22	28	қалді	қалді	VERB
22	29	.	.	PUNCT
23	0	Kelesi	келеси	ADJ
23	1	úlken	үлкен	ADJ
23	2	versiyasında	версийасінда	NOUN
23	3	(4.0)	(	PUNCT
23	4	iPhone	4.0	NUM
23	5	OS	)	PUNCT
23	6	ataması	ипһоне	NOUN
23	7	iOS	ос	NOUN
23	8	ke	атамасі	PUNCT
23	9	ózgertiledi.	иос	PUNCT
23	10	ке	ке	ADP
23	11	өзгертиледи	өзгертиледи	VERB
23	12	.	.	PUNCT
24	0	...	...	PUNCT
24	1	elektron	електрон	NOUN
24	2	pochtanıń	почтанің	NOUN
24	3	barlıq	барліқ	ADJ
24	4	paydalanıwshıları	пайдаланіўшіларі	NOUN
24	5	óz	өз	DET
24	6	elektron	електрон	NOUN
24	7	xatları	xатларі	NOUN
24	8	avtomatlastırılǵan	автоматластірілған	VERB
24	9	islew	ислеў	VERB
24	10	processinen	проcессинен	NOUN
24	11	ótetuǵının	өтетуғінін	VERB
24	12	kútiwi	күтиўи	VERB
24	13	kerek	керек	ADJ
24	14	...	...	PUNCT
25	0	APL2	апл2	PROPN
25	1	birinshi	биринши	NOUN
25	2	ret	рет	NOUN
25	3	1984-jılı	1984	PUNCT
25	4	CMS	-	PUNCT
25	5	hám	жілі	CCONJ
25	6	TSO	cмс	NOUN
25	7	ushın	һáм	ADP
25	8	shıǵarıldı.	тсо	PUNCT
25	9	ушін	ушін	ADP
25	10	шіғарілді	шіғарілді	VERB
25	11	.	.	PUNCT
26	0	2018-jıldıń	2018	PUNCT
26	1	may	-	PUNCT
26	2	ayında	жілдің	NOUN
26	3	Parker-Pis	май	PUNCT
26	4	maydanında	айінда	NOUN
26	5	"""Kembridj"	паркер-пис	PUNCT
26	6	qaǵıydaları	майданінда	NOUN
26	7	"1848"""	""""	PUNCT
26	8	dep	кембридж	NOUN
26	9	atalǵan	қағійдаларі	NOUN
26	10	estelik	1848	NUM
26	11	ornatıldı.	""""	PUNCT
26	12	деп	деп	VERB
26	13	аталған	аталған	VERB
26	14	естелик	естелик	NOUN
26	15	орнатілді	орнатілді	VERB
26	16	.	.	PUNCT
27	0	Li	ли	ADJ
27	1	Ushudıń	ушудің	NOUN
27	2	tiykarǵı	тийкарғі	ADJ
27	3	maqseti	мақсети	NOUN
27	4	ózin	өзин	ADJ
27	5	qorǵaw	қорғаў	NOUN
27	6	emes	емес	AUX
27	7	dep	деп	VERB
27	8	esaplaydı	есаплайді	VERB
27	9	hám	һáм	CCONJ
27	10	adamlar	адамлар	NOUN
27	11	qaharman	қаһарман	NOUN
27	12	bolıwǵa	боліўға	AUX
27	13	urınǵannan	урінғаннан	VERB
27	14	góre,	гөре	PUNCT
27	15	qarama-qarsılıqlardı	,	PUNCT
27	16	tınıshlıq	қарама-қарсіліқларді	PRON
27	17	jolı	тінішліқ	ADJ
27	18	menen	жолі	NOUN
27	19	sheshiw	менен	NOUN
27	20	haqqında	шешиў	VERB
27	21	oylanıwı	һаққінда	NOUN
27	22	hám	ойланіўі	CCONJ
27	23	kerek	һáм	NOUN
27	24	bolsa	керек	ADJ
27	25	poliсiyaǵa	болса	AUX
27	26	xabarlasıwı	полисийаға	NOUN
27	27	kerek	xабарласіўі	VERB
27	28	dep	керек	ADJ
27	29	esaplaydı:	деп	PUNCT
27	30	есаплайді	есаплайді	VERB
27	31	:	:	PUNCT
28	0	Jumsaq	жумсақ	NOUN
28	1	tańlaydıń	таңлайдің	NOUN
28	2	joqarı	жоқарі	ADJ
28	3	kóterilip,	көтерилип	PUNCT
28	4	murın	,	PUNCT
28	5	jolın	мурін	NOUN
28	6	jawıp	жолін	NOUN
28	7	turıwı	жаўіп	VERB
28	8	arqalı	туріўі	ADJ
28	9	awızlıq	арқалі	ADJ
28	10	sesler	аўізліқ	ADJ
28	11	jasaladı.	сеслер	PUNCT
28	12	жасаладі	жасаладі	VERB
28	13	.	.	PUNCT
29	0	Kóp	көп	DET
29	1	mikrokompyuter	микрокомпйутер	NOUN
29	2	BASICleri	басиcлери	NOUN
29	3	bul	бул	PRON
29	4	maǵlıwmat	мағліўмат	NOUN
29	5	tipin	типин	NOUN
29	6	qollap-quwatlamaǵan;	қоллап-қуўатламаған	PUNCT
29	7	matricialıq	;	PUNCT
29	8	operaciyalardı	матриcиаліқ	ADJ
29	9	orınlaw	операcийаларді	NOUN
29	10	múmkin	орінлаў	VERB
29	11	edi,	мүмкин	PUNCT
29	12	biraq	еди	VERB
29	13	olardı	,	PUNCT
29	14	massiv	бирақ	SCONJ
29	15	elementlerinde	оларді	PRON
29	16	anıq	массив	NOUN
29	17	programmalastırıw	елементлеринде	NOUN
29	18	kerek	аніқ	ADJ
29	19	bolǵan.	программаластіріў	PUNCT
29	20	керек	керек	ADJ
29	21	болған	болған	AUX
29	22	.	.	PUNCT
30	0	Bunday	бундай	ADJ
30	1	jaǵdaylarda	жағдайларда	NOUN
30	2	sintetikalıq	синтетикаліқ	ADJ
30	3	maǵlıwmatlar	мағліўматлар	NOUN
30	4	qollanılıwı	қолланіліўі	VERB
30	5	múmkin.	мүмкин	PUNCT
30	6	.	.	PUNCT
31	0	Ullı	уллі	ADJ
31	1	Britaniyada	британийада	NOUN
31	2	hám	һáм	CCONJ
31	3	basqa	басқа	ADJ
31	4	Batıs	батіс	ADJ
31	5	Evropa	европа	NOUN
31	6	ellerinde	еллеринде	NOUN
31	7	frazeologiya	фразеологийа	NOUN
31	8	sońǵı	соңғі	ADV
31	9	jigirma	жигирма	NOUN
31	10	jıl	жіл	NOUN
31	11	dawamında	даўамінда	NOUN
31	12	turaqlı	турақлі	ADJ
31	13	rawajlanıp	раўажланіп	VERB
31	14	kelmekte.	келмекте	PUNCT
31	15	.	.	PUNCT
32	0	Sayttıń	сайттің	NOUN
32	1	kólemi	көлеми	NOUN
32	2	úlkeygen	үлкейген	VERB
32	3	sayın	сайін	NOUN
32	4	texnikalıq	теxникаліқ	ADJ
32	5	xızmet	xізмет	NOUN
32	6	kórsetiw	көрсетиў	VERB
32	7	qárejetleri	қáрежетлери	NOUN
32	8	de	де	ADV
32	9	anaǵurlım	анағурлім	ADJ
32	10	artadı.	артаді	PUNCT
32	11	.	.	PUNCT
33	0	Xebb	xебб	NOUN
33	1	qısqa	қісқа	NOUN
33	2	múddetli	мүддетли	ADJ
33	3	hám	һáм	CCONJ
33	4	uzaq	узақ	NOUN
33	5	múddetli	мүддетли	ADJ
33	6	yadtı	йадті	NOUN
33	7	ayırıp	айіріп	VERB
33	8	kórsetti.	көрсетти	PUNCT
33	9	.	.	PUNCT
34	0	Stallone	сталлоне	NOUN
34	1	dúnya	дүнйа	NOUN
34	2	júzilik	жүзилик	NOUN
34	3	dańqqa	даңққа	NOUN
34	4	"""Rokki"""	"""рокки"	PUNCT
34	5	(1976)	""""	PUNCT
34	6	filmindegi	(	PUNCT
34	7	bas	1976	NUM
34	8	roli	)	ADJ
34	9	menen	филминдеги	NOUN
34	10	eristi.	бас	PUNCT
34	11	роли	роли	NOUN
34	12	менен	менен	PRON
34	13	еристи	еристи	VERB
34	14	.	.	PUNCT
35	0	PCWorld	пcўорлд	NOUN
35	1	basılımınıń	басілімінің	NOUN
35	2	pikirinshe,	пикиринше	PUNCT
35	3	bul	,	PRON
35	4	qáte	бул	DET
35	5	xızmet	қáте	ADJ
35	6	arqalı	xізмет	ADJ
35	7	saqlanǵan	арқалі	NOUN
35	8	barlıq	сақланған	VERB
35	9	hújjetlerdiń	барліқ	ADJ
35	10	0.05%	һүжжетлердиң	PUNCT
35	11	ine	0.05%	NUM
35	12	tásir	ине	NOUN
35	13	etken.	тáсир	PUNCT
35	14	еткен	еткен	VERB
35	15	.	.	PUNCT
36	0	Olardıń	олардің	PRON
36	1	tiykarǵı	тийкарғі	ADJ
36	2	wazıypası	ўазійпасі	NOUN
36	3	-	-	PUNCT
36	4	joqarı	жоқарі	ADJ
36	5	dárejeli	дáрежели	ADJ
36	6	kóriw,	көриў	PUNCT
36	7	basqarıw	,	PUNCT
36	8	hám	басқаріў	CCONJ
36	9	texnikalıq	һáм	NOUN
36	10	sheberlik	теxникаліқ	ADJ
36	11	járdeminde	шеберлик	NOUN
36	12	gol	жáрдеминде	NOUN
36	13	urıw	гол	NOUN
36	14	múmkinshiliklerin	уріў	VERB
36	15	jaratıw.	мүмкиншиликлерин	PUNCT
36	16	жаратіў	жаратіў	VERB
36	17	.	.	PUNCT
37	0	Edd	едд	CCONJ
37	1	Birns	бирнс	NOUN
37	2	bunday	бундай	NOUN
37	3	baxıtlı	баxітлі	ADJ
37	4	bolmadı	болмаді	AUX
37	5	hám	һáм	CCONJ
37	6	ózin	өзин	ADJ
37	7	kontrakttan	контракттан	NOUN
37	8	satıp	сатіп	VERB
37	9	alıwǵa	аліўға	AUX
37	10	májbúr	мáжбүр	ADJ
37	11	boldı.	болді	PUNCT
37	12	.	.	PUNCT
38	0	Bul	бул	PRON
38	1	film	филм	NOUN
38	2	okeanda	океанда	NOUN
38	3	ájayıp	áжайіп	VERB
38	4	aqıllı	ақіллі	ADJ
38	5	janzatlardı	жанзатларді	NOUN
38	6	tapqan	тапқан	VERB
38	7	neft	нефт	NOUN
38	8	platforması	платформасі	NOUN
38	9	jumısshıları	жумісшіларі	NOUN
38	10	haqqında	һаққінда	NOUN
38	11	edi.	еди	PUNCT
38	12	.	.	PUNCT
39	0	TikTok	тикток	NOUN
39	1	sıyaqlı,	сійақлі	PUNCT
39	2	ol	,	PUNCT
39	3	paydalanıwshılarǵa	ол	PRON
39	4	dóretiwshilik	пайдаланіўшіларға	NOUN
39	5	qurallarına,	дөретиўшилик	PUNCT
39	6	sonıń	қуралларіна	NOUN
39	7	ishinde	,	PUNCT
39	8	óz	сонің	PRON
39	9	videolarına	ишинде	NOUN
39	10	licenziyalanǵan	өз	DET
39	11	muzıkanı	видеоларіна	NOUN
39	12	qosıw	лиcензийаланған	VERB
39	13	múmkinshiligine	музікані	NOUN
39	14	jol	қосіў	VERB
39	15	ashadı[183].	мүмкиншилигине	PUNCT
39	16	жол	жол	NOUN
39	17	ашаді	ашаді	VERB
39	18	[183]	[183]	PUNCT
39	19	.	.	PUNCT
40	0	Shólkem	шөлкем	NOUN
40	1	Delaveyrde	делавейрде	NOUN
40	2	dizimge	дизимге	NOUN
40	3	alınǵan	алінған	VERB
40	4	kommerciyalıq	коммерcийаліқ	ADJ
40	5	emes	емес	CCONJ
40	6	OpenAI,	опенаи	PUNCT
40	7	Inc.,	,	PUNCT
40	8	hám	инc.	CCONJ
40	9	2019-jılı	,	PUNCT
40	10	engizilgen	һáм	NOUN
40	11	kommerciyalıq	2019	NUM
40	12	emes	-	PUNCT
40	13	filialı	жілі	ADJ
40	14	OpenAI	енгизилген	VERB
40	15	Global,	коммерcийаліқ	PUNCT
40	16	LLC	емес	CCONJ
