SentID   | Seq   | Original               | Cyrillic              | POS
3        | 8     | processorlar           | процессорлар          | NOUN
3        | 9     | sanı                   | саны                  | NOUN
3        | 10    | processor              | процессор             | NOUN
3        | 11    | toparları              | топарлары             | NOUN
3        | 12    | sanı                   | саны                  | NOUN
3        | 13    | menen                  | менен                 | ADP
3        | 14    | almastırıladı          | алмастырылады         | VERB
3        | 15    | .                      | .                     | PUNCT
4        | 0     | Bul                    | бул                   | PRON
4        | 1     | da                     | да                    | ADV
4        | 2     | tábiyiy                | тáбийий               | ADJ
4        | 3     | emes                   | емес                  | AUX
4        | 4     | esitiletuǵın           | еситилетуғын          | VERB
4        | 5     | audioǵa                | аудиоға               | NOUN
4        | 6     | alıp                   | алып                  | VERB
4        | 7     | keliwi                 | келиўи                | NOUN
4        | 8     | múmkin                 | мүмкин                | ADJ
4        | 9     | .                      | .                     | PUNCT
5        | 0     | belgili                | белгили               | ADJ
5        | 1     | bir                    | бир                   | DET
5        | 2     | sandaǵı                | сандағы               | ADJ
5        | 3     | bos                    | бос                   | ADJ
5        | 4     | orın                   | орын                  | NOUN
5        | 5     | simvolların            | символларын           | NOUN
5        | 6     | shıǵaradı              | шығарады              | VERB
5        | 7     | .                      | .                     | PUNCT  
6        | 0     | jetkiliksiz           | жеткиликсиз          | ADJ
6        | 1     | programmalıq          | программалық         | ADJ
6        | 2     | támiynat              | тáмийнат            | NOUN
6        | 3     | hújjetleri            | һүжжетлери          | NOUN

7        | 0     | Generativ             | генератив           | ADJ
7        | 1     | Aldınnan              | алдыннан            | ADV
7        | 2     | Tayarlanǵan           | тайарланған         | VERB
7        | 3     | Transformator         | трансформатор       | NOUN

8        | 0     | Suw                   | суў                 | NOUN
8        | 1     | astındaǵı             | астындағы           | ADJ
8        | 2     | túsiriwlerge          | түсириўлерге        | NOUN
8        | 3     | hám                   | ҳáм                 | CCONJ
8        | 4     | aralıqtan             | аралықтан           | NOUN
8        | 5     | basqarılatuǵın        | басқарылатуғын      | VERB
8        | 6     | qurılma               | құрылма             | NOUN
8        | 7     | texnologiyasına       | технологиясына      | NOUN
8        | 8     | qosqan                | қосқан              | VERB
8        | 9     | úlesi                 | үлеси               | NOUN
8        | 10    | ushın                 | ушын                | ADP
8        | 11    | ,                     | ,                   | PUNCT
8        | 12    | Sautgempton           | саутгемптон         | PROPN
8        | 13    | universiteti          | университети        | NOUN
8        | 14    | Kemeronǵa             | кемеронға           | PROPN
8        | 15    | 2004-jıldıń           | 2004-жылдың         | NUM
8        | 16    | iyul                  | ийул                | NOUN
8        | 17    | ayında                | айында              | NOUN
8        | 18    | universitettiń        | университеттиң      | NOUN
8        | 19    | húrmetli              | һүрметли            | ADJ
8        | 20    | doktorı               | докторы             | NOUN
8        | 21    | dárejesin             | дәрежесин           | NOUN
8        | 22    | berdi                 | берди               | VERB
8        | 23    | .                     | .                   | PUNCT

9        | 0     | Buzıwshılıqlar        | бузіўшіліқлар       | NOUN
9        | 1     | hám                   | ҳáм                 | CCONJ
9        | 2     | jazalar               | жазалар             | NOUN    
10       | 0     | Marian                 | мариан                | PROPN
10       | 1     | Seldes                 | селдес                | PROPN
10       | 2     | Xess                   | xесс                  | PROPN
10       | 3     | xanım                  | xанім                 | NOUN
10       | 4     | rolinde                | ролинде               | NOUN
10       | 5     | ,                      | ,                     | PUNCT
10       | 6     | Pruittler              | пруиттлер             | PROPN
10       | 7     | shańaraǵınıń           | шаңарағының           | NOUN
10       | 8     | jası                   | жасы                  | NOUN
10       | 9     | úlken                  | үлкен                 | ADJ
10       | 10    | qońsısı                | қоңсісі               | NOUN
10       | 11    | .                      | .                     | PUNCT

11       | 0     | Onıń                   | оның                  | PRON
11       | 1     | tabısı                 | табысы                | NOUN
11       | 2     | Avatar                 | Аватар                | PROPN
11       | 3     | franshizasınıń         | франшизасының         | NOUN
11       | 4     | payda                  | пайда                 | NOUN
11       | 5     | bolıwına               | болуына               | VERB
11       | 6     | alıp                   | алып                  | VERB
11       | 7     | keldi                  | келди                 | VERB
11       | 8     | ,                      | ,                     | PUNCT
11       | 9     | oǵan                   | оған                  | PRON
11       | 10    | Avatar: Suw jolı       | Аватар: Суў жолы      | PROPN
11       | 11    | (2022)                 | (2022)                | NUM
11       | 12    | ,                      | ,                     | PUNCT
11       | 13    | Avatar: Ot hám kúl     | Аватар: От ҳәм күл    | PROPN
11       | 14    | (2025)                 | (2025)                | NUM
11       | 15    | ,                      | ,                     | PUNCT
11       | 16    | Avatar 4               | Аватар 4              | PROPN
11       | 17    | (2029)                 | (2029)                | NUM
11       | 18    | hám                    | ҳәм                   | CCONJ
11       | 19    | Avatar 5               | Аватар 5              | PROPN
11       | 20    | (2031)                 | (2031)                | NUM
11       | 21    | dawamları              | даўамлары             | NOUN
11       | 22    | kiredi                 | киреди                | VERB
11       | 23    | .                      | .                     | PUNCT
12       | 0     | 1970                   | 1970                  | NUM
12       | 1     | -                      | -                     | PUNCT
12       | 2     | jıllardıń              | жыллардың             | NOUN
12       | 3     | ortalarında            | орталарында            | NOUN
12       | 4     | ,                      | ,                     | PUNCT
12       | 5     | IBM                    | ИБМ                   | PROPN
12       | 6     | meynfreym              | мейнфрейм             | NOUN
12       | 7     | interpretatorı         | интерпретаторы        | NOUN
12       | 8     | hátte                  | ҳәтте                 | ADV
12       | 9     | kishi                  | киши                  | ADJ
12       | 10    | CRT                    | CRT                   | PROPN
12       | 11    | hám                    | ҳәм                   | CCONJ
12       | 12    | APL                    | APL                   | PROPN
12       | 13    | klaviaturası           | клавиатурасы          | NOUN
12       | 14    | bar                    | бар                   | VERB
12       | 15    | IBM                    | ИБМ                   | PROPN
12       | 16    | 5100                   | 5100                  | NUM
12       | 17    | desktop                | десктоп               | NOUN
12       | 18    | kompyuterinde          | компьютеринде         | NOUN
12       | 19    | paydalanıw             | пайдаланыў            | NOUN
12       | 20    | ushın                  | ушын                  | ADP
12       | 21    | da                     | да                    | ADV
12       | 22    | beyimlestirildi        | бейимлестирилди       | VERB
12       | 23    | ,                      | ,                     | PUNCT
12       | 24    | sol                    | сол                   | DET
12       | 25    | waqıtta                | ўақытта               | NOUN
12       | 26    | basqa                  | басқа                 | ADJ
12       | 27    | kishi                  | киши                  | ADJ
12       | 28    | kompyuterlerdiń        | компьютерлердиң       | NOUN
12       | 29    | kópshiligi             | көпшилиги             | NOUN
12       | 30    | tek                    | тек                   | ADV
12       | 31    | BASIC                  | BASIC                 | PROPN
12       | 32    | usınatuǵın             | усынатуғын            | VERB
12       | 33    | edi                    | еди                   | AUX
12       | 34    | .                      | .                     | PUNCT

13       | 0     | Ford                   | Форд                  | PROPN
13       | 1     | hám                    | ҳәм                   | CCONJ
13       | 2     | Flokxart               | Флокхарт              | PROPN
13       | 3     | Vayoming               | Вайоминг              | PROPN
13       | 4     | shtatınıń              | штатының              | NOUN
13       | 5     | Djekson                | Джексон               | PROPN
13       | 6     | qalasında              | қаласында             | NOUN
13       | 7     | 800                    | 800                   | NUM
13       | 8     | akr                    | акр                   | NOUN
13       | 9     | (                      | (                     | PUNCT
13       | 10    | 320                    | 320                   | NUM
13       | 11    | gektar                 | гектар                | NOUN
13       | 12    | ;                      | ;                     | PUNCT
13       | 13    | 3,2                    | 3,2                   | NUM
13       | 14    | kvadrat                | квадрат               | NOUN
13       | 15    | kilometr               | километр              | NOUN
13       | 16    | )                      | )                     | PUNCT
13       | 17    | maydanlı               | майданлы              | ADJ
13       | 18    | ranchoda               | ранчода               | NOUN
13       | 19    | jasaydı                | жасайды               | VERB
13       | 20    | ,                      | ,                     | PUNCT
13       | 21    | ol                     | ол                    | PRON
13       | 22    | jerde                  | жерде                 | NOUN
13       | 23    | Ford                   | Форд                  | PROPN
13       | 24    | 1980                   | 1980                  | NUM
13       | 25    | -                      | -                     | PUNCT
13       | 26    | jıllardan              | жыллардан             | NOUN
13       | 27    | beri                   | бери                  | ADV
13       | 28    | jasap                  | жасап                 | VERB
13       | 29    | kiyatır                | кийатыр               | VERB
13       | 30    | hám                    | ҳәм                   | CCONJ
13       | 31    | onıń                   | оның                  | PRON
13       | 32    | shama                  | шама                  | NOUN
13       | 33    | menen                  | менен                 | ADP
13       | 34    | yarımın                | ярымын                | NOUN
13       | 35    | tábiyat                | тәбият                | NOUN
13       | 36    | qorıqxanası            | қорықханасы           | NOUN
13       | 37    | sıpatında              | сипатында             | ADP
13       | 38    | baǵıshlaǵan            | бағышлаған            | VERB
13       | 39    | .                      | .                     | PUNCT    
14       | 0     | Ol                     | ол                    | PRON
14       | 1     | 2017                   | 2017                  | NUM
14       | 2     | -                      | -                     | PUNCT
14       | 3     | jılı                   | жылы                  | NOUN
14       | 4     | iske                   | іске                  | NOUN
14       | 5     | qosıldı                | қосылды               | VERB
14       | 6     | hám                    | ҳәм                   | CCONJ
14       | 7     | dóretiwshilerge        | дөретиўшилерге        | NOUN
14       | 8     | 3D                     | 3D                    | NOUN
14       | 9     | obektlerin             | объектлерин           | NOUN
14       | 10    | ańsat                  | аңсат                 | ADJ
14       | 11    | bólisiw                | бөлисиў               | NOUN
14       | 12    | hám                    | ҳәм                   | CCONJ
14       | 13    | olarǵa                 | оларға                | PRON
14       | 14    | kiriw                  | кириў                 | NOUN
14       | 15    | imkaniyatın            | имканиятын            | NOUN
14       | 16    | beriwge                | бериўге               | VERB
14       | 17    | arnalǵan               | арналған              | VERB
14       | 18    | edi                    | еди                   | AUX
14       | 19    | .                      | .                     | PUNCT

15       | 0     | 1998                   | 1998                  | NUM
15       | 1     | -                      | -                     | PUNCT
15       | 2     | jılı                   | жылы                  | NOUN
15       | 3     | Kemeron                | Кемерон               | PROPN
15       | 4     | unamsız                | унамсыз               | ADJ
15       | 5     | reakciyalarǵa          | реакцияларға          | NOUN
15       | 6     | ,                      | ,                     | PUNCT
15       | 7     | ásirese                | әсиресе               | ADV
15       | 8     | Kennet                 | Кеннет                | PROPN
15       | 9     | Turannıń               | Туранның              | PROPN
15       | 10    | sınına                 | сынына                | NOUN
15       | 11    | juwap                  | жуўап                 | NOUN
15       | 12    | berip                  | берип                 | VERB
15       | 13    | ,                      | ,                     | PUNCT
15       | 14    | bılay                  | былай                 | ADV
15       | 15    | dep                    | деп                   | VERB
15       | 16    | jazdı                  | жазды                 | VERB
15       | 17    | :                      | :                     | PUNCT
15       | 18    | Titanik                | Титаник               | PROPN
15       | 19    | -                      | -                     | PUNCT
15       | 20    | adamlardı              | адамдарды             | NOUN
15       | 21    | jıltıraq              | жылтырақ              | ADJ
15       | 22    | ajiotaj               | ажиотаж               | NOUN
15       | 23    | benen                  | менен                 | ADP
15       | 24    | ózine                  | өзине                 | PRON
15       | 25    | tartıp                 | тартып                | VERB
15       | 26    | ,                      | ,                     | PUNCT
15       | 27    | keyin                  | кейин                 | ADV
15       | 28    | olardı                 | оларды                | PRON
15       | 29    | kóshege                | көшеге                | NOUN
15       | 30    | aldanǵan               | алданған              | VERB
15       | 31    | hám                    | ҳәм                   | CCONJ
15       | 32    | aldawǵa                | алдаўға               | NOUN
15       | 33    | túsken                 | түскен                | VERB
15       | 34    | sezim                  | сезим                 | NOUN
15       | 35    | menen                  | менен                 | ADP
15       | 36    | shıǵarıp               | шығарып               | VERB
15       | 37    | taslaytuǵın           | таслайтуғын           | VERB
15       | 38    | film                   | фильм                 | NOUN
15       | 39    | emes                   | емес                  | AUX
15       | 40    | .                      | .                     | PUNCT     

16       | 0     | Keyingi                | кейинги                | ADJ
16       | 1     | jıllarda               | жылларда               | NOUN
16       | 2     | ol                     | ол                     | PRON
16       | 3     | waqtınıń               | ўақтның                | NOUN
16       | 4     | kóp                    | көп                    | DET
16       | 5     | bólegin                | бөлегин                | NOUN
16       | 6     | Indiana                | Индиана                | PROPN
16       | 7     | shtatınıń              | штатының               | NOUN
16       | 8     | Klinton                | Клинтон                | PROPN
16       | 9     | qalasındaǵı            | қаласындағы            | NOUN
16       | 10    | shańaraǵınıń           | шаңарағының             | NOUN
16       | 11    | qasında                | қасында                | NOUN
16       | 12    | ótkerdi                | өткерди                | VERB
16       | 13    | ,                      | ,                      | PUNCT
16       | 14    | ol                     | ол                     | PRON
16       | 15    | jerde                  | жерде                  | NOUN
16       | 16    | jergilikli             | жергиликли             | ADJ
16       | 17    | yarmarkalarǵa          | ярмаркаларға           | NOUN
16       | 18    | hám                    | ҳәм                    | CCONJ
16       | 19    | festivallarǵa          | фестивалларға          | NOUN
16       | 20    | qatnasıwdı             | қатынасыўды            | NOUN
16       | 21    | jaqsı                  | жақсы                  | ADJ
16       | 22    | kóretuǵın              | көретуғын              | VERB
16       | 23    | edi                    | еди                    | AUX
16       | 24    | .                      | .                      | PUNCT

17       | 0     | Talaplardı             | талапларды             | NOUN
17       | 1     | modellew               | моделлеў               | VERB
17       | 2     | hám                    | ҳәм                    | CCONJ
17       | 3     | tekseriw/validaciya    | тексериў/валидация     | NOUN
17       | 4     | informaciyası          | информациясы            | NOUN
17       | 5     | ,                      | ,                      | PUNCT

18       | 0     | Sud                    | Суд                    | NOUN
18       | 1     | eki                    | еки                    | DET
18       | 2     | márte                  | мәрте                  | NOUN
18       | 3     | Time                   | Time                   | PROPN
18       | 4     | paydasına              | пайдасына              | NOUN
18       | 5     | qarar                  | қарар                  | NOUN
18       | 6     | shıǵardı               | шығарды                | VERB
18       | 7     | ,                      | ,                      | PUNCT
18       | 8     | bul                    | бул                    | DET
18       | 9     | Gulf                   | Gulf                   | PROPN
18       | 10    | and                    | and                    | PROPN
18       | 11    | Western                | Western                | PROPN
18       | 12    | kompaniyasın           | компаниясын            | NOUN
18       | 13    | Time                   | Time                   | PROPN
18       | 14    | di                     | ди                     | PART
18       | 15    | satıp                  | сатып                  | VERB
18       | 16    | alıw                   | алу                    | NOUN
18       | 17    | háreketin              | әрекетін               | NOUN
18       | 18    | de                     | де                     | CCONJ
18       | 19    | ,                      | ,                      | PUNCT
18       | 20    | sonday-aq              | сондай-ақ              | ADV
18       | 21    | sudtaǵı                | соттағы                | NOUN
18       | 22    | arzanı                 | арзанын                | NOUN
18       | 23    | da                     | да                     | ADV
18       | 24    | biykarlawǵa            | бийкарлаўға            | NOUN
18       | 25    | májbúr                 | мәжбүр                 | ADJ
18       | 26    | etti                   | етти                   | VERB
18       | 27    | hám                    | ҳәм                    | CCONJ
18       | 28    | Time                   | Time                   | PROPN
18       | 29    | Warner                 | Warner                 | PROPN
18       | 30    | dıń                   | диң                    | NOUN
18       | 31    | qurılıwına             | құрылуына              | NOUN
18       | 32    | jol                    | жол                    | NOUN
18       | 33    | ashtı                  | ашты                   | VERB
18       | 34    | .                      | .                      | PUNCT

19       | 0     | Gol                    | гол                    | NOUN
19       | 1     | hújimshiniń            | ҳүжимшиниң             | NOUN
19       | 2     | denesiniń              | денесиниң              | NOUN
19       | 3     | qálegen                | қáлеген                | VERB
19       | 4     | bólegi                 | бөлеги                 | NOUN
19       | 5     | menen                  | менен                  | PRON
19       | 6     | urılıwı                | урылыўы                | VERB
19       | 7     | múmkin                 | мүмкин                 | ADJ
19       | 8     | ,                      | ,                      | PUNCT
19       | 9     | tek                    | тек                    | ADV
19       | 10    | jumılǵan               | жумылған               | VERB
19       | 11    | mushtan                | муштан                 | NOUN
19       | 12    | basqa                  | басқа                  | ADJ
19       | 13    | .                      | .                      | PUNCT

20       | 0     | Ses                    | сес                    | NOUN
20       | 1     | kartaları              | карталары              | NOUN
20       | 2     | kompyuterdiń           | компьютердиң           | NOUN
20       | 3     | ana                    | ана                    | NOUN
20       | 4     | platasına              | платасына              | NOUN
20       | 5     | kirgizilgen            | киргизилген            | VERB
20       | 6     | bolıwı                 | болыўы                 | NOUN
20       | 7     | ,                      | ,                      | PUNCT
20       | 8     | keńeytiw               | кеңейтиў               | VERB
20       | 9     | kartası                | картасы                | NOUN
20       | 10    | retinde                | ретинде                | NOUN
20       | 11    | ornatılıwı             | орнатылыўы             | NOUN
20       | 12    | yamasa                 | ямаса                  | CCONJ
20       | 13    | stol                   | стол                   | NOUN
20       | 14    | blogı                  | блогы                  | NOUN
20       | 15    | túrinde                | түринде                | NOUN
20       | 16    | bolıwı                 | болыўы                 | AUX
20       | 17    | múmkin                 | мүмкин                 | ADJ
20       | 18    | .                      | .                      | PUNCT

21       | 0     | Van                    | ван                    | NOUN
21       | 1     | Ling                   | линг                   | NOUN
21       | 2     | Fang                   | фанг                   | NOUN
21       | 3     | Lang                   | ланг                   | NOUN
21       | 4     | rolin                  | ролин                  | NOUN
21       | 5     | oynadı                | ойнады                 | VERB
21       | 6     | ;                      | ;                      | PUNCT
21       | 7     | onıń                   | оның                   | PRON
21       | 8     | ómirbayanı             | өмірбаяны              | NOUN
21       | 9     | Kemerondı              | Кемеронды              | NOUN
21       | 10    | "Altaw"                | "Алтау"                | PROPN
21       | 11    | dep                    | деп                    | PART
21       | 12    | atalǵan                | аталған                | VERB
21       | 13    | hújjetli               | ҳүжжетли               | ADJ
21       | 14    | film                   | фильм                  | NOUN
21       | 15    | islewge                | ислейўге               | VERB
21       | 16    | túrtki                 | түртки                 | NOUN
21       | 17    | boldı                  | болды                  | VERB
21       | 18    | ,                      | ,                      | PUNCT
21       | 19    | ol                     | ол                     | PRON
21       | 20    | batıwdan               | батыўдан               | NOUN
21       | 21    | aman                   | аман                   | ADJ
21       | 22    | qalǵan                 | қалған                 | VERB
21       | 23    | qıtaylı                | қытайлы                | ADJ
21       | 24    | aman                   | аман                   | ADJ
21       | 25    | qalǵanlar              | қалғанлар              | VERB
21       | 26    | toparı                 | топары                 | NOUN
21       | 27    | haqqında               | ҳаққында               | ADP
21       | 28    | .                      | .                      | PUNCT
    
22       | 0     | Baylanıs               | байланыс               | NOUN

23       | 0     | Múyesh                 | мүйеш                  | NOUN
23       | 1     | soqqısı                | соққысы                | NOUN
23       | 2     | :                      | :                      | PUNCT
23       | 3     | top                    | топ                    | NOUN
23       | 4     | tolıǵı                 | толықы                 | NOUN
23       | 5     | menen                  | менен                  | ADP
23       | 6     | dárwaza                | дәрўаза                | NOUN
23       | 7     | sızıǵınan              | сызығынан              | NOUN
23       | 8     | ótkende                | өткенде                | VERB
23       | 9     | hám                    | ҳәм                    | CCONJ
23       | 10    | oǵan                   | оған                   | PRON
23       | 11    | eń                     | ең                     | ADV
23       | 12    | sońǵı                  | соңғы                  | ADJ
23       | 13    | qorǵawshı              | қорғаўшы               | NOUN
23       | 14    | tiygende               | тийгенде               | VERB
23       | 15    | ;                      | ;                      | PUNCT
23       | 16    | hújim                  | ҳүжим                  | NOUN
23       | 17    | etiwshi                | етиўши                 | NOUN
23       | 18    | komandaǵa              | командаға              | NOUN
23       | 19    | beriledi               | бериледи               | VERB
23       | 20    | .                      | .                      | PUNCT

24       | 0     | 2019                   | 2019                   | NUM
24       | 1     | -                      | -                      | PUNCT
24       | 2     | jıldıń                 | жылдың                 | NOUN
24       | 3     | dekabr                 | декабр                 | NOUN
24       | 4     | ayında                 | айында                 | NOUN
24       | 5     | ViacomCBS              | ViacomCBS              | PROPN
24       | 6     | beIN                   | beIN                   | PROPN
24       | 7     | Media                  | Media                  | PROPN
24       | 8     | Group                  | Group                  | PROPN
24       | 9     | -                      | -                      | PUNCT
24       | 10    | qa                     | қа                     | ADP
24       | 11    | tiyisli                | тийисли                | ADJ
24       | 12    | Miramax                | Miramax                | PROPN
24       | 13    | -                      | -                      | PUNCT
24       | 14    | tıń                    | тың                    | NOUN
24       | 15    | 49%                    | 49%                    | NUM
24       | 16    | úlesin                 | үлесин                 | NOUN
24       | 17    | satıp                  | сатып                  | VERB
24       | 18    | alıwǵa                 | алыўға                 | NOUN
24       | 19    | kelisip                | келисип                | VERB
24       | 20    | aldı                   | алды                   | VERB
24       | 21    | ,                      | ,                      | PUNCT
24       | 22    | Paramount              | Paramount              | PROPN
24       | 23    | studiyanıń             | студияның              | NOUN
24       | 24    | 700                    | 700                    | NUM
24       | 25    | filmlik                | фильмлик               | ADJ
24       | 26    | kitapxanasınıń         | китапханасының         | NOUN
24       | 27    | ,                      | ,                      | PUNCT
24       | 28    | sonday-aq              | сондай-ақ              | ADV
24       | 29    | keleshektegi           | келешектеги            | ADJ
24       | 30    | shıǵarılımlarınıń      | шығарылымларының       | NOUN
24       | 31    | tarqatıw               | тарқатыў               | VERB
24       | 32    | huqıqın                | ҳуқуқын                | NOUN
24       | 33    | aldı                   | алды                   | VERB
24       | 34    | .                      | .                      | PUNCT 
  
25       | 0     | Bir                    | бир                    | PRON
25       | 1     | neshe                  | неше                   | DET
25       | 2     | mikrofonǵa             | микрофонға             | NOUN
25       | 3     | iye                    | ийе                    | VERB
25       | 4     | bolǵan                 | болған                 | VERB
25       | 5     | mobil                  | мобил                  | ADJ
25       | 6     | telefonlar             | телефонлар             | NOUN
25       | 7     | ádette                 | әдетте                 | ADV
25       | 8     | keńislik               | кеңислик               | NOUN
25       | 9     | sezimin                | сезимин                | NOUN
25       | 10    | beriw                  | бериў                  | VERB
25       | 11    | ushın                  | ушын                   | ADP
25       | 12    | stereo                 | стерео                 | ADJ
25       | 13    | audio                  | аудио                  | NOUN
25       | 14    | menen                  | менен                  | CCONJ
25       | 15    | video                  | видео                  | NOUN
25       | 16    | jazbasın               | жазбасын               | NOUN
25       | 17    | alıw                   | алыў                   | VERB
25       | 18    | múmkinshiligine        | мүмкиншилигине         | NOUN
25       | 19    | iye                    | ийе                    | ADJ
25       | 20    | .                      | .                      | PUNCT

26       | 0     | Ol                     | ол                     | PRON
26       | 1     | házir                  | ҳәзир                  | ADV
26       | 2     | Mac                    | Mac                    | PROPN
26       | 3     | -                      | -                      | PUNCT
26       | 4     | ta                     | та                     | ADP
26       | 5     | OS                     | OS                     | PROPN
26       | 6     | X                      | X                      | PROPN
26       | 7     | El                     | El                     | PROPN
26       | 8     | Capitan                | Capitan                | PROPN
26       | 9     | menen                  | менен                  | ADP
26       | 10    | Finder                 | Finder                 | PROPN
26       | 11    | -                      | -                      | PUNCT
26       | 12    | den                    | ден                    | ADP
26       | 13    | basqasınıń             | басқасының             | PRON
26       | 14    | barlıǵında             | барлығында             | NOUN
26       | 15    | joq                    | жоқ                    | ADJ
26       | 16    | .                      | .                      | PUNCT
26       | 17    | macOS                  | macOS                  | PROPN
26       | 18    | Mojave                 | Mojave                 | PROPN
26       | 19    | -                      | -                      | PUNCT
26       | 20    | de                     | де                     | ADP
26       | 21    | pútkilley              | пүткиллей              | ADV
26       | 22    | basqa                  | басқа                  | ADJ
26       | 23    | Galereya               | Галерея                | PROPN
26       | 24    | kórinisi               | көрүнси                | NOUN
26       | 25    | funkciyası             | функциясы              | NOUN
26       | 26    | Finder                 | Finder                 | PROPN
26       | 27    | -                      | -                      | PUNCT
26       | 28    | degi                   | деги                   | ADP
26       | 29    | Cover                  | Cover                  | PROPN
26       | 30    | Flow                   | Flow                   | PROPN
26       | 31    | dıń                    | дың                    | NOUN
26       | 32    | ornın                  | орнын                  | NOUN
26       | 33    | basadı                 | басады                 | VERB
26       | 34    | .                      | .                      | PUNCT 
  
27       | 0     | 2021-jılı             | 2021-жылы             | NOUN
27       | 1     | /Film                 | /Film                 | PROPN
27       | 2     | saytınıń              | сайтының              | NOUN
27       | 3     | wákili                | ўәкили                | NOUN
27       | 4     | Dalin                 | Dalin                 | PROPN
27       | 5     | Rowell                | Rowell                | PROPN
27       | 6     | onı                   | оны                   | PRON
27       | 7     | Kemeronnıń            | Кемеронның            | PROPN
27       | 8     | karerasındaǵı         | карерасындағы         | ADJ
27       | 9     | úshinshi              | үшинши                | ADJ
27       | 10    | eń                    | ең                    | ADV
27       | 11    | jaqsı                 | жақсы                 | ADJ
27       | 12    | film                  | фильм                 | NOUN
27       | 13    | dep                   | деп                   | PART
27       | 14    | atadı                 | атады                 | VERB
27       | 15    | .                     | .                     | PUNCT

28       | 0     | Bul                   | бул                   | PRON
28       | 1     | sonday-aq             | сондай-ақ             | ADV
28       | 2     | proektlerdi           | проектлерди           | NOUN
28       | 3     | bir                   | бир                   | DET
28       | 4     | neshe                 | неше                  | DET
28       | 5     | kishirek              | киширек               | ADJ
28       | 6     | proektlerge           | проектлерге           | NOUN
28       | 7     | "bóliwdi"             | "бөлиўди"             | NOUN
28       | 8     | ańsatlastıradı        | аңсатластырады        | VERB
28       | 9     | .                     | .                     | PUNCT
         
29       | 0     | Kemeron               | Кемерон               | PROPN
29       | 1     | bılay                 | былай                 | ADV
